modelo,representacao,protocolo_features,subset_features,variante,features_usadas,n_features,thr,f1,precision,recall,false_alarm_rate,accuracy,balanced_accuracy,mcc,avg_precision,objective_score,tp,fp,fn,tn
ANN (MLP),composite,current,current_geom_4,mlp,"js, fro, cos, euclid",4,0.5,0.7934124485347542,0.9954421148587056,0.6595530501308637,0.00019210081450745352,0.9794584050763988,0.8296804746581781,0.8014839226320937,0.8112422811971233,1.0007653319142211,3276.0,15.0,1691.0,78069.0
ANN (MLP),composite,legacy,legacy_univar_js,mlp,js,1,0.5,0.7903575916828516,0.9136291600633915,0.6963962150191262,0.004187797756262487,0.9779051426232074,0.8461042086314319,0.7869260923985735,0.7942563225423838,1.0004179146260177,3459.0,327.0,1508.0,77757.0
KAN (pykan),len,legacy,legacy_univar_js,"width=[1,8,2],grid=3,k=3,steps=25",js,1,0.5,0.7760671798460461,0.9223731632935958,0.6698208173948057,0.003585881870805799,0.9768816751152906,0.8331174677619999,0.775089557826436,0.7534522248320413,0.9830914881317641,3327.0,280.0,1640.0,77804.0
ANN (MLP),len,legacy,legacy_univar_js,mlp,js,1,0.5,0.7730575052333457,0.9952441344324667,0.6319710086571371,0.00019210081450745352,0.9778088162695211,0.8158894539213148,0.7837853620365051,0.7503416213421945,0.9769626334285968,3139.0,15.0,1828.0,78069.0
ANN (MLP),composite,current,current_full_6,mlp,"js, fro, rare, cos, euclid, avg_pool",6,0.5,0.7679054885552548,0.9876543209876543,0.628145762029394,0.0004994621177193792,0.9772910621184573,0.8138231499558373,0.7780663257120062,0.7796636112939743,0.9711864643030123,3120.0,39.0,1847.0,78045.0
TEDA,composite,legacy,legacy_mv,legacy_mv,"js, fro, d_js, d_fro, rare",5,2.2,0.7571625172025522,1.0,0.6092208576605597,0.0,0.9766288184368641,0.8046104288302798,0.7710021104316924,0.8156942890752881,0.9583151244101222,3026.0,0.0,1941.0,78084.0
TEDA,len,legacy,legacy_mv,legacy_mv,"js, fro, d_js, d_fro, rare",5,2.4,0.748393599596825,1.0,0.5979464465472116,0.0,0.97595453396106,0.7989732232736058,0.7635674861498339,0.7627650162644202,0.9481369054152264,2970.0,0.0,1997.0,78084.0
TEDA,len,legacy,legacy_univar_js,legacy_univar_js,js,1,2.4,0.7382192302807062,1.0,0.5850614052748138,0.0,0.9751839231315698,0.7925307026374069,0.7549940599521868,0.7521639768204117,0.936351905940058,2906.0,0.0,2061.0,78084.0
TEDA,composite,legacy,legacy_univar_fro,legacy_univar_fro,fro,1,2.6,0.7333928343746016,1.0,0.5790215421783773,0.0,0.9748226993052461,0.7895107710891887,0.7509463365430326,0.7754118745255162,0.9307705271468987,2876.0,0.0,2091.0,78084.0
TEDA,composite,legacy,legacy_univar_js,legacy_univar_js,js,1,2.0,0.7281553398058253,0.916590284142988,0.6039863096436481,0.003496234824035654,0.973028620967839,0.8002450374098062,0.7318454296852728,0.7917924621829202,0.9269929169698643,3000.0,273.0,1967.0,77811.0
XGBoost,composite,legacy,legacy_mv,xgb,"js, fro, d_js, d_fro, rare",5,0.5,0.7096455883562207,0.599805393383375,0.8687336420374472,0.03687054966446391,0.9574839556417142,0.9159315461864916,0.7012888181448554,0.8858918603891374,0.9257237825202812,4315.0,2879.0,652.0,75205.0
Random Forest,composite,current,current_geom_4,rf,"js, fro, cos, euclid",4,0.5,0.7170236753100337,0.7302713987473904,0.7042480370444937,0.01654628348957533,0.9667553671840194,0.8438508767774592,0.6995001065282491,0.6602503486889784,0.9221951952830472,3498.0,1292.0,1469.0,76792.0
ANN (MLP),idle,legacy,legacy_univar_js,mlp,js,1,0.5,0.7231971307800691,0.9940140845070422,0.5683511173746728,0.00021771425644178063,0.9739798437104912,0.7840667015591155,0.7413141589400709,0.652047849458059,0.9191376061800933,2823.0,17.0,2144.0,78067.0
KAN (pykan),idle,legacy,legacy_univar_js,"width=[1,8,2],grid=3,k=3,steps=25",js,1,0.5,0.7224861949402851,0.9975177304964539,0.5663378296758607,8.964704677014497e-05,0.9739798437104912,0.7831240913145452,0.7413772767360702,0.6432885735731406,0.9182358413025519,2813.0,7.0,2154.0,78077.0
TEDA,len,legacy,legacy_univar_fro,legacy_univar_fro,fro,1,3.0,0.7195153390048982,1.0,0.5619085967384739,0.0,0.9737992317973293,0.780954298369237,0.7393741912683778,0.7683433515161309,0.9147539135972074,2791.0,0.0,2176.0,78084.0
KAN (pykan),len,current,current_geom_4,"width=[4,8,2],grid=3,k=3,steps=25","js, fro, cos, euclid",4,0.5,0.7164063508454886,0.9982014388489209,0.5586873364203745,6.403360483581784e-05,0.9735463751189029,0.7793116514077694,0.7364536517102155,0.6868715828093883,0.9112118519357385,2775.0,5.0,2192.0,78079.0
ANN (MLP),idle,legacy,legacy_mv,mlp,"js, fro, d_js, d_fro, rare",5,0.5,0.7157334684570561,0.9651520327980868,0.5687537749144352,0.0013062855386506839,0.9729804577909958,0.7837237446878923,0.7297281717760544,0.7017371993278668,0.9112072046905014,2825.0,102.0,2142.0,77982.0
